timestamp	n_reports	n_success	pass_pct	n_fail	tierA	tierB	tierC	tierD	classes
2026-07-12T18:06:06	73	65	89.0	8	2	5	1	0	no_conformers:5,donor_H_atom_count:1,geometry_or_fragment_change:1,carborane_unsupported:1
2026-07-12T18:06:45	73	65	89.0	8	2	5	1	0	no_conformers:5,donor_H_atom_count:1,geometry_or_fragment_change:1,carborane_unsupported:1
2026-07-12T18:33:17	128	115	89.8	13	3	8	2	0	no_conformers:8,carborane_unsupported:2,high_rmsd:1,donor_H_atom_count:1,geometry_or_fragment_change:1
2026-07-12T18:59:06	252	231	91.7	21	6	13	2	0	no_conformers:11,donor_H_atom_count:2,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,geometry_or_fragment_change:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T19:25:06	357	328	91.9	29	11	16	2	0	no_conformers:14,donor_H_atom_count:7,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,geometry_or_fragment_change:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T19:51:08	357	328	91.9	29	11	16	2	0	no_conformers:14,donor_H_atom_count:7,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,geometry_or_fragment_change:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T20:17:08	357	328	91.9	29	11	16	2	0	no_conformers:14,donor_H_atom_count:7,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,geometry_or_fragment_change:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T20:26:08	396	362	91.4	34	13	19	2	0	no_conformers:15,donor_H_atom_count:7,timeout:2,geometry_or_fragment_change:2,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,encode_crash_other:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T20:27:55	396	362	91.4	34	13	19	2	0	no_conformers:15,donor_H_atom_count:7,timeout:2,geometry_or_fragment_change:2,gen_exception_other:2,carborane_unsupported:2,high_rmsd:1,encode_crash_other:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T20:54:06	575	522	90.8	53	17	34	2	0	no_conformers:20,timeout:9,donor_H_atom_count:7,gen_exception_other:5,geometry_or_fragment_change:3,high_rmsd:2,carborane_unsupported:2,EZ_bond_stereo:1,string_mismatch_other:1,encode_crash_other:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T21:20:06	716	641	89.5	75	20	53	2	0	timeout:24,no_conformers:22,donor_H_atom_count:7,gen_exception_other:7,geometry_or_fragment_change:3,EZ_bond_stereo:2,high_rmsd:2,string_mismatch_other:2,carborane_unsupported:2,encode_crash_other:1,winding_flip:1,macrocycle_perception:1,kekulize_encode_crash:1
2026-07-12T21:46:06	880	786	89.3	94	29	63	2	0	timeout:32,no_conformers:23,geometry_or_fragment_change:8,gen_exception_other:8,donor_H_atom_count:7,EZ_bond_stereo:3,high_rmsd:3,string_mismatch_other:3,carborane_unsupported:2,encode_crash_other:1,winding_flip:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-12T22:12:07	1037	924	89.1	113	34	76	3	0	timeout:40,no_conformers:28,geometry_or_fragment_change:10,gen_exception_other:8,donor_H_atom_count:7,high_rmsd:4,EZ_bond_stereo:3,string_mismatch_other:3,carborane_unsupported:3,encode_crash_other:1,H_on_terminal_oxo_imido:1,winding_flip:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-12T22:38:10	1188	1059	89.1	129	39	87	3	0	timeout:48,no_conformers:31,geometry_or_fragment_change:10,donor_H_atom_count:9,gen_exception_other:8,high_rmsd:5,string_mismatch_other:5,EZ_bond_stereo:3,carborane_unsupported:3,encode_crash_other:1,H_on_terminal_oxo_imido:1,winding_flip:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-12T23:04:06	1340	1191	88.9	149	41	104	3	1	timeout:61,no_conformers:35,geometry_or_fragment_change:10,donor_H_atom_count:9,gen_exception_other:8,high_rmsd:5,string_mismatch_other:5,EZ_bond_stereo:4,carborane_unsupported:3,winding_flip:2,encode_crash_other:1,H_on_terminal_oxo_imido:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1,interrupted:1
2026-07-12T23:35:11	1538	1365	88.8	173	49	121	3	0	timeout:70,no_conformers:42,donor_H_atom_count:12,geometry_or_fragment_change:11,gen_exception_other:9,high_rmsd:6,EZ_bond_stereo:5,string_mismatch_other:5,winding_flip:4,carborane_unsupported:3,encode_crash_other:1,H_on_terminal_oxo_imido:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-13T00:06:11	1734	1544	89.0	190	57	130	3	0	timeout:79,no_conformers:42,donor_H_atom_count:14,geometry_or_fragment_change:13,gen_exception_other:9,high_rmsd:8,EZ_bond_stereo:6,string_mismatch_other:6,winding_flip:4,carborane_unsupported:3,encode_crash_other:1,H_on_terminal_oxo_imido:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-13T00:37:10	1919	1708	89.0	211	62	144	5	0	timeout:92,no_conformers:43,donor_H_atom_count:15,geometry_or_fragment_change:14,gen_exception_other:9,high_rmsd:8,EZ_bond_stereo:7,string_mismatch_other:7,carborane_unsupported:5,winding_flip:5,encode_crash_other:1,H_on_terminal_oxo_imido:1,atom_stereo:1,macrocycle_perception:1,geometry_NON:1,kekulize_encode_crash:1
2026-07-13T07:27:10	4484	3966	88.4	518	153	347	18	0	timeout:254,no_conformers:76,donor_H_atom_count:41,high_rmsd:25,geometry_or_fragment_change:21,string_mismatch_other:19,carborane_unsupported:18,EZ_bond_stereo:17,gen_exception_other:17,winding_flip:10,atom_stereo:8,encode_crash_other:3,kekulize_encode_crash:3,macrocycle_perception:2,garbled_aromatic:2,H_on_terminal_oxo_imido:1,geometry_NON:1
2026-07-13T07:58:10	4668	4124	88.3	544	165	359	20	0	timeout:264,no_conformers:78,donor_H_atom_count:47,high_rmsd:26,geometry_or_fragment_change:22,string_mismatch_other:21,carborane_unsupported:20,EZ_bond_stereo:18,gen_exception_other:17,winding_flip:11,atom_stereo:8,encode_crash_other:3,kekulize_encode_crash:3,macrocycle_perception:2,garbled_aromatic:2,H_on_terminal_oxo_imido:1,geometry_NON:1
