# v0.4.14 baseline sweep, N=5000, per-molecule extract.
# The full run is 261 MB (20 MB individual_reports + 42 MB structures) and gitignored.
# This is the REUSABLE CORE: it re-derives the bucket table, the key_equal sub-split,
# and the runtime percentiles without the raw run. elapsed_s is the NESTED field.
molecule	status	tier_passed	bucket_honest	subclass_honest	bucket_scored	subclass_scored	elapsed_s	len_oin_in	len_oin_out_indep
ABAZIO_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.52	85	85
ABEVEL_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.79	81	81
ABIFEZ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.22	80	80
ABIQUY_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.47	82	82
ABOPOY_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.67	94	94
ABOWAQ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	8.80	146	146
ABOZEW_comp_0	success	UFF_1	key_equal	rdkit_canonical	byte_exact	-	3.30	106	76
ABUYAX_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.50	77	77
ACAXIO_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	5.08	108	108
ACEPUT_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.83	76	76
ACINIM_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.50	62	62
ACOWUM_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.81	102	102
ACOXEX_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.46	96	96
ACUWUT_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	5.36	128	128
ACUYUU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.01	72	72
ADABIT_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	13.80	84	84
ADACEQ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	6.53	83	83
ADANEB_comp_0	success	UFF_1	facmer_divergent	-	byte_exact	-	25.78	92	83
ADEKUS_comp_4	success	UFF_1	byte_exact	-	byte_exact	-	1.16	40	40
ADEVIQ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.04	84	84
ADEZOY_comp_0	success	UFF_1	structural	-	byte_exact	-	164.50	164	139
ADIRIP_comp_1	success	UFF_1	byte_exact	-	byte_exact	-	3.20	89	89
ADOWOG_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.11	110	110
ADUMER_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	4.61	137	137
ADUNEU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.46	63	63
ADUPAS_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.58	102	102
AFADOC_comp_0	success	UFF_1	key_equal	slot_renumber	key_equal	slot_renumber	38.68	129	129
AFAMIF_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	5.93	80	80
AFIHEC_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.66	89	89
AFIJII_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.01	71	71
AFIROW_comp_0	success	UFF_1	hard_fail	-	byte_exact	-	19.53	122	0
AFOJEN_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.48	66	66
AFUZAE_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	6.08	108	108
AGAVIQ_comp_0	success	UFF_1	key_equal	slot_renumber	key_equal	slot_renumber	4.11	81	81
AGELIJ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	4.00	120	120
AGELOP_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.27	93	93
AGIKUW_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	30.58	161	161
AGISER_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.47	94	94
AGOBUU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.80	99	99
AGOCEF_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	5.32	96	96
AGUBOT_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	8.40	91	91
AGULIX_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.13	74	74
AHAQUX_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	10.47	100	100
AHAZOZ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	11.13	92	92
AHEBEV_comp_0	success	UFF_1	structural	-	byte_exact	-	25.41	106	97
AHETIS_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.69	69	69
AHEVAM_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.29	80	80
AHEVIU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.59	71	71
AHIGED_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	7.79	94	94
AHOGOU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.81	76	76
AHUKIZ_comp_0	success	UFF_1	structural	-	byte_exact	-	88.31	107	91
AJAZIV_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.57	83	83
AJIDIH_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.90	94	94
AJIDUU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	8.12	134	134
AJIFAA_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.28	52	52
AJIJUY_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	18.24	119	119
AJIXUO_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.82	90	90
AJODEI_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.38	102	102
AJOKIV_comp_0	success	UFF_1	structural	-	byte_exact	-	43.07	136	96
AJUTUW_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	6.00	109	109
AKEGUU_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.90	118	118
AKOXII_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	22.60	109	109
AKOZIK_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	9.35	102	102
AKUKOG_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	5.52	126	126
AKUMAV_comp_0	failed	-	hard_fail	-	hard_fail	-	324.18	131	120
AKUZIR_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.98	124	124
ALAJON_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.07	67	67
ALAMIL_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	1.69	79	79
ALAVOY_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	3.00	87	87
ALAXEQ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	4.58	104	104
ALAXES_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.56	89	89
ALEHOQ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	4.49	122	122
ALEMOT_comp_0	failed	-	hard_fail	-	hard_fail	-	51.00	98	98
ALITEU_comp_0	failed	-	hard_fail	-	hard_fail	-	300.12	283	0
ALITUM_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	8.69	89	89
ALIWOJ_comp_0	success	UFF_1	byte_exact	-	byte_exact	-	2.02	78	78
